Name,Subject,Number,Credits,Description,Restrictions
AERO 4101 - National Security Studies and Preparation for Active Duty I,AERO,4101,,"Prepare cadets for their first active duty assignment as an Officer in the Air Force.  Cadets learn about the role of a professional military leader in a democratic society and societal attitudes toward the armed forces.  They also learn the requisites for maintaining adequate national defense structure, the impact of technological and international developments on strategic preparedness, military law, and the overall policy-making process.",
AERO 4102 - National Security Studies and Preparation for Active Duty II,AERO,4102,,"The capstone course for the Aerospace Studies curriculum that prepare cadets for their first active duty assignment as an Officer in the Air Force.  Cadets learn about the role of a professional military leader in a democratic society and societal attitudes toward the armed forces.  Discussions are held on the requisites for maintaining adequate national defense structure, the impact of technological and international developments on strategic preparedness, military law, and the overall policy-making process.",
AFRS 1100 - Introduction to Africana Studies,AFRS,1100,,Interdisciplinary survey of key issues in the life and history of peoples of African descent and their interaction with other peoples and world cultures; introduction to theoretical foundations in the field of Africana Studies.,
AFRS 1501 - Global Social Science: Africana Studies,AFRS,1501,,"This Global Theme course uses the methods and insights of the social sciences to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of complex, interconnected world. AFRS 1501 helps students build intercultural competency by exploring social, economic, political, and cultural developments among African and African descended peoples.",
AFRS 1512 - Local Arts/Humanities: Africana Studies,AFRS,1512,,"This Local Theme course uses the methods and insights of the humanities to explore the central question of what it means to be a member of a “local” community. Through the study of the experiences of different peoples, cultures, and communities in our city, our region, or our nation, students will be able to better understand the complexity and diversity of the society in which we live. AFRS 1512 will examine the histories, politics, economics, and culture of African Americans and African descended peoples in the United States.",
AFRS 2050 - Topics in Africana Studies,AFRS,2050,,Treatment of a special topic.,
AFRS 2103 - Introduction to Hip Hop,AFRS,2103,,"Examines the musical, corporeal, visual, spoken word and literary manifestations of hip hop from its early years to the present, focusing especially on the political, aesthetic, and lifestyle ramifications of hip hop in the US. The Black cultural practices and the intercultural relations across race, class, and gender that have given rise to the various forms of hip hop in North America will also be analyzed.",
AFRS 2105 - Black Images in the Media in the U.S.,AFRS,2105,,"Examination of African American images projected through electronic and print media, historically and currently.",
AFRS 2107 - Global Hip Hop,AFRS,2107,,"The development and growth of Hip Hop from a US inner city Black expressive culture to a global subaltern social movement. Examines cultural production in Hip Hop in relation to the contemporary global issues that focus on the youth, subalterns, and postcolonial experiences.",
AFRS 2111 - Yoruba Language and Culture I,AFRS,2111,,"First semester elementary Yoruba language and introduction to Yoruba culture. The primary goal is to provide students with the basic spoken, reading, and writing knowledge of Yoruba language, and the cultural and social contexts in which the language functions.",
AFRS 2112 - Yoruba Language and Culture II,AFRS,2112,,"Second semester elementary Yoruba language, and introduction to Yoruba culture. The primary goal is to provide students with the basic spoken, reading, and writing knowledge of Yoruba language, and the cultural and social contexts in which the language functions.",
AFRS 2120 - African American Women,AFRS,2120,,"Explores how cultural, political, historical and economic factors shape African- American women’s positions and opportunities in society today.",
AFRS 2156 - African Civilization,AFRS,2156,,"A survey of major cultural innovations and foundations of civilizations in ancient Africa; examination of the origins of ideas, beliefs, institutions, and practices; and the philosophical, religious, social, political and economic foundations of ancient African civilizations. Draws from a wide range of historical sources, especially archaeology, language, literary, oral traditions, and material culture.",
AFRS 2160 - The African American Experience through Civil War,AFRS,2160,,"Exploration of circumstances that brought Africans to the Americas and their experience during the era of slavery. Emphasis on the political, economic, and socio-cultural systems that maintained slavery in the South and constrained freedom in the North and the responses and struggles of African Americans. Topics include: slavery/slave trading to the Americas; the system of slavery in British North America; free blacks; political compromises sustaining the peculiar institution; and the impact of the Civil War and Reconstruction on the freedom, citizenship, and suffrage of African Americans.",
AFRS 2161 - The African American Experience: Civil War to Civil Rights,AFRS,2161,,"Exploration of the African American experience from the Civil War to the present and the struggle of freed slaves and free people of color in garnering the promises of emancipation and the changing status of African Americans in American society. Interdisciplinary survey of key eras, issues, debates, and personalities in the African American experience from 1865 to the present.",
AFRS 2170 - Introduction to Health and Environmental Issues in the Africana World,AFRS,2170,,"A general introduction to the cultural, social, political, ethical, and psychological dimensions of health and environmental issues affecting the African and African Diaspora peoples globally, and the policy implications.",
AFRS 2172 - Black Sexuality and Health,AFRS,2172,,"Examines the intersection of sexuality, gender, race, class, and ethnicity, and how they influence social relations and health. Students are introduced to the critical concepts of sex, gender, and sexuality; the links between becoming gendered, sexuality and heterogeneity within African American populations and the impact it has had on health-related issues.",
AFRS 2174 - Environmental Literature in Africa and the Caribbean,AFRS,2174,,"Introduction to an environment-centered approach in literary and cultural studies through the study of a selection of poems, fictions, plays, and critical literary essays by African and Caribbean writers. Cultural and environmental studies are brought into interdisciplinary dialogue about nature, conservation, and development in Africa and the Caribbean.  Also explores the contributions of postcolonial studies to eco-criticism and the narratives of environmental justice in developing countries.",
"AFRS 2206 - African Literature, Music, and Art",AFRS,2206,,"Survey of socio-cultural context in which African literature, music, and art function; examination of the impact of changes resulting from international dependence and improved communications across continents and cultures; parallels drawn with other regions of the world, particularly the US and Europe. Creative research or community projects required.",
AFRS 2207 - Pan-Africanism,AFRS,2207,,"Study of the Pan-African movement; examination of historical and contemporary efforts of peoples of African descent to unite their struggles for human advancement, political independence, and equality in Africa, the US, the Caribbean, Western Europe, and Afro-Latin American. Included in the study are popular movements, leading proponents, and related organizations.",
AFRS 2215 - Black Families in the United States,AFRS,2215,,Critical and comprehensive examination of the life of African American families in the United States including the historical evolution of black families and their relationship with the political-economic structures of American society.,
AFRS 2221 - Modern Africa,AFRS,2221,,"A survey of major developments in the 19th and 20th century Sub-Saharan Africa, with emphasis on the European conquest, the colonial period, and the triumph of modern African nationalism.",
AFRS 2301 - Introduction to African American Literature,AFRS,2301,,"Survey of the major periods, texts, and issues in African American literature.",
AFRS 3050 - Topics in Africana Studies,AFRS,3050,,Treatment of a special topic.,
AFRS 3101 - Perspectives on Race and Ethnicity in the US,AFRS,3101,,Study of values and make-up of American pluralistic society in historical and contemporary context. Focus on the understanding of African American values and the role of ethnicity and race.,
AFRS 3121 - Contemporary African Art,AFRS,3121,,"Survey of contemporary African artists and artworks , on the continent and in the diaspora, with international profiles. Readings and discussions focus on politics, gender, class, identity, and mobility.",
AFRS 3150 - The African American Church and Civil Rights,AFRS,3150,,"Role of the African American church in the struggle for human equality. Topics such as radical, moderate, and accommodationist leadership styles; historical development of the black church in the South; and its emergence as a foundation for modern civil rights movement.",
AFRS 3154 - Globalization in African History,AFRS,3154,,"Examines how the emergence of globalization and global interdependency has impacted the African continent in social, economic, political, cultural, and historical contexts.  Discussion of major concepts and thinkers; with specific attention to recent historical developments, successes, and challenges.",
AFRS 3155 - Health and Healing in Africa,AFRS,3155,,"Provides an historical context for some of the major healthcare challenges facing Africa today. Traces the history of health and healing from the pre-colonial era through the period of colonial rule, and since political independence. Both the Africa-centered and Western methods of healing and conceptions of health and illness are examined at different junctures in African history.",
AFRS 3159 - African American Poetry,AFRS,3159,,"Intensive study of African American poetry, focusing on one period or traversing several.",
AFRS 3179 - African American Political Philosophy,AFRS,3179,,Analysis of competing ideologies in African American political philosophy.,
AFRS 3190 - Political Economy of the Caribbean,AFRS,3190,,An examination of the manifestations of Caribbean economic problems and policies and Caribbean political development from the post-war period to the present.,
AFRS 3192 - African Cinema,AFRS,3192,,"A study of the relationship of African film/video production to historical and contemporary issues in Africa; and the sociopolitical contexts, intertextuality, and aesthetics of African film/video production.",
AFRS 3200 - Folklore of Africa and the African Diaspora,AFRS,3200,,"A study of the relationships among African and African Diaspora folktales, folk beliefs, customs, legends, myths, proverbs, poetry, songs, performance, narratives, symbols, and social practices. Using an interdisciplinary approach, the course identifies parallel tales and verbal and performance arts in the Mother Continent and the Diaspora and also studies how geographical environments and historical experiences have impacted new manifestations of African folklore.",
"AFRS 3218 - Racial Violence, Colonial Times to Present",AFRS,3218,,"Examines the ways in which African Americans and Whites used violence both as part of struggles for liberation and freedom as well as repression from the colonial period to the present in the United States. Focuses on the broader processes of social, political, and cultural change and at efforts to build cooperation.",
AFRS 3220 - The Caribbean from Slavery to Independence,AFRS,3220,,"Covering the sweep of history from European/indigenous contact, through the construction of a plantation regime based on African slave labor, and up to the present day, this course explores the spread of colonialism, the dynamics of slavery, and the tumult of abolition and national independence movements. The Caribbean Sea is examined as a region, emphasizing the ties uniting the islands and the circum-Caribbean coasts. The region’s past - including empire and imperial conflict, racial oppression and interaction, and international contact - and its legacies will be discussed in relation to political economics, race, and contemporary culture.",
AFRS 3230 - Poverty and Discrimination in African Diaspora in the Modern Era,AFRS,3230,,"Socio-economic roots of poverty and discrimination in African America, the Caribbean, and Afro-Latin America; impact of antipoverty and anti-discrimination laws and programs.",
AFRS 3239 - African American Music: History and Culture,AFRS,3239,,"Examines the history and scholarship of African American music from enslavement to the present. Focusing on African American sacred and secular music, students investigate how different musical genres – including spirituals, blues, jazz, gospel, rhythm and blues, as well as hip hop – reflected African Americans’ social, political, and economic experiences.",
AFRS 3240 - Race and the Law,AFRS,3240,,"Explores the unique role law has played in establishing the status of persons of African descent in the Americas, with a focus on the United States. Students investigate how the legal history of African Americans has shaped American race relations over the past 400 years by tracing the evolution of race, racism, and racial formations as a function of America’s legal system.",
AFRS 3250 - African Americans and Health Communication,AFRS,3250,,Focuses on the use of communication strategies to inform and influence individual and community decisions regarding health among African American populations. Considers how health messages are created and the impact they have on African Americans within the context of their lives.,
"AFRS 3260 - Slavery, Racism, and Colonialism in the African Diaspora",AFRS,3260,,"Designed to explore how race and racism, slavery, and colonialism served as principal institutions and constructs shaping the experience between Africa and the emerging African Diaspora in the New World. Students will consider how the maintenance of Western social, economic, and political superiority materialized as functions of these three important historical developments.",
AFRS 3261 - Psychology of the Black Experience,AFRS,3261,,"A study of the psychological issues relating to the Black experience in the Americas, using Africacentered philosophical and psychological frameworks to examine how Black subjectivities have been constructed historically, and how this affects human motivations, self-perceptions, cultures, and behaviors among Africa-descended populations.",
AFRS 3262 - Philosophy and Race,AFRS,3262,,"Examines the role of the concept of race in the Western philosophical canon, and uses current philosophical texts and methods to examine Western discourses of race and racism. Issues such as whiteness, double consciousness, the black/white binary, Latino identity and race, ethnicity, mixed-race identity, and the intersection of race with gender and class are also examined.",
AFRS 3264 - Business Culture and Entrepreneurship in Africa,AFRS,3264,,"A study of the institutional practices associated with African business culture and entrepreneurship in local, national, and global spaces.  A deep historical approach is taken, covering pre-modern entrepreneurial and business culture; how traditions and cultural practices influence the way Africans conduct business; how these have been shaped by the realities of modernity and globalization; and the challenges facing institutional business practices and entrepreneurs in Africa and its emerging market economies.",
AFRS 3265 - African Economic Development,AFRS,3265,,"Focus on economic theories, planning, production, and resource allocation strategies, capital formation, foreign aid, and multinational corporations in Africa.",
AFRS 3270 - Afro-Latin American History,AFRS,3270,,"This course explores the African Diaspora in Latin America ranging from the Caribbean Sea to the Rio de la Plata. From slavery, to fighting for freedom in the Spanish-American Wars of Independence, to forging new notions of citizenship in twentieth century Brazil, African-descended peoples have an important place in Latin America’s historical past. According special attention to regions with concentrated populations of African-descended peoples, this course reveals the vibrant history of Afro-Latin America.",
AFRS 3278 - Race in the History of Brazil,AFRS,3278,,"Examining the history of Brazil since Portuguese colonization, this course focuses on experiences, struggles, and debates revolving around questions of race and identity. The course interrogates the construction of a slave society, abolition, negotiation of freedom for slaves, and debates around national identity that attended the formation of the Brazilian republic and which have shaped the country in the 20th century. The Brazilian experience will be approached comparatively, using the United States and other areas of the African Diaspora for context.",
AFRS 3280 - Blacks in Urban America,AFRS,3280,,African Americans have been part of the urban scene since the colonizing of the Americas. Examines the ways in which their presence in cities has both exemplified and contradicted the understanding of both urban development and race relations in America from colonial times to the present.,
AFRS 3290 - Research Methods,AFRS,3290,,"Prepares students to conduct independent research.  Introduces the processes of conceptualization and basic research techniques, and some of the issues related to conducting research on the Black experience.  A variety of appropriate studies and methods are utilized over the course of the semester.","Junior or Senior standing, or permission of instructor."
AFRS 3328 - West African Art and Display,AFRS,3328,,"Addresses major genres, monuments, and issues of artistic production in West Africa.  Readings and discussions focus on politics, identity, gender, performance, collection, and display.",
AFRS 3395 - African American Art,AFRS,3395,,"Survey of the major movements and issues of African American artistic production, from the 17th century to the present day.  Readings and discussions focus on stylistic developments, politics, race, gender, identity, and representation.",
AFRS 3692 - Colloquium,AFRS,3692,,"A weekly colloquium; research and writing; opportunity for intellectual stimulation, critique and problem solving. Open to majors and non-majors.",Permission of instructor.
AFRS 3895 - Independent Study,AFRS,3895,,Supervised investigation of a problem or subject in the field of Africana Studies.,Permission of department.
AFRS 3990 - Senior Project in Africana Studies,AFRS,3990,,Completion of a senior research paper on an academic topic or a community-related written project. Emphasis on mastery of academic skills and content of the field or specific discipline.,Senior standing.
AFRS 4050 - Topics in Africana Studies,AFRS,4050,,Treatment of a special topic.,
AFRS 4100 - African Diaspora Theory,AFRS,4100,,"Explores the diverse conceptual and theoretical perspectives in the African Diaspora Studies, with emphasis on the dialectical relationships between social theories and the African Diaspora, especially as these relate to the issues of race, identity, gender, migrations, cultural production, and transnationalism.",
AFRS 4105 - African International Relations,AFRS,4105,,"Examines Africa’s relations with external powers , cooperation among African countries, the role of non-state actors in African conflicts, and U.S. policy toward the continent.",
AFRS 4401 - Professional Internship in Africana Studies,AFRS,4401,,"Internship in wide-ranging working environments, including government establishments, private businesses, as well as not-for-profit organizations, especially those focusing on issues affecting African and African Diaspora populations. The internship provides students with experiential learning in an environment that is consistent with the student’s professional goals and growth.",Permission of department chair department; Junior or Senior standing; Africana Studies major or minor;  and a minimum GPA of 2.5.
AFRS 4600 - Senior Seminar in Africana Studies,AFRS,4600,,"This advanced seminar explores a wide-body of literature selected as the eminent scholarship in the field of Africana Studies. Students read, analyze, and critique the scholarly literature of the field and prepare written assignments conceptualizing the course readings and discussions.",Senior standing.
AFRS 4630 - Environmental and Public Health in Africa,AFRS,4630,,"In-depth analysis of environmental and public health hazards in Africa, including pandemic, as well as the principles and practice of public health, pollution control, and waste management. The social and political contexts of the environmental and health issues in Africa are emphasized throughout.",
"AFRS 4640 - Environment, State, and Society in the Caribbean and Latin America",AFRS,4640,,"The history of the environment in Latin America and the Caribbean, especially the impacts on race, labor, culture, political relations, and state formation from the pre-Columbian period through the present.",
"AFRS 4652 - Race, Health, and the African Diaspora",AFRS,4652,,"Global approaches to health disparities throughout the African Diaspora using racial, gender, class, and development theoretical frameworks. Explores the comparative relationships between contemporary social and historical factors determining the health status of peoples of African descent residing in different areas of the world.",
AFRS 4790 - Africana Studies Senior Honors Project/Thesis,AFRS,4790,,"Students complete the research, analysis, writing, and oral presentation of the honors project/thesis under the supervision of an honors faculty advisor.  The project/thesis must address any aspect of African and African Diaspora affairs ; and must be driven by the quest to solve an applied problem, or develop a better understanding of a theoretical or practical issue. The final product may be in form of a digital , textual , database development, or creative work; and must demonstrate evidence of scholarly rigor, intellectual curiosity, and creative problem-solving.","Africana Studies major with a GPA of at least 3.25 in all Africana Studies courses counted toward the major and taken at UNC Charlotte, GPA of at least 3.0 for all coursework taken at UNC Charlotte, and approval of a project/thesis proposal through the Honors College Application to Candidacy process the semester prior to taking the course."
AMST 2050 - Topics in American Studies,AMST,2050,,An introduction to the interdisciplinary approach focusing on aspects of American culture and society.,
AMST 2100 - Introduction to American Indian Studies,AMST,2100,,"An introduction to the study of the American Indian experience through selected academic disciplines  and American Indian intellectual perspectives on, and response to, these disciplines.",
AMST 3050 - Topics in American Studies,AMST,3050,,"Introduction to the interdisciplinary approach, demonstrating how traditionally distinct disciplines, such as literature and history, or art and political science, interrelate and contribute to an understanding of an American topic.",
AMST 3090 - Topics in American Film,AMST,3090,,"An in-depth treatment of an American film director, subject, or genre.",
AMST 3100 - Introduction to American Studies,AMST,3100,,"Introduction to American culture through an in-depth study of a single decade or era, such as the 1830s, 1890s, 1920s, 1950s or 1960s. Focus on how diverse social, economic, artistic, literary, philosophical, and political forces have shaped American society. Students examine the complex and multifaceted nature of American culture, both as it pertains to the specific era under study and to the present day.",
AMST 3800 - Independent Study or Directed Reading in American Studies,AMST,3800,,Intended for students who wish to conduct individual investigations related to American Studies.  Not limited to American Studies students but should be under the supervision of an American Studies advisor or designate.,Permission of American Studies Coordinator.
AMST 4050 - Topics in American Studies,AMST,4050,,In-depth study using an interdisciplinary approach focusing on aspects of American culture and society.,
ANTH 1101 - Introduction to Anthropology,ANTH,1101,,"Biological and cultural evolution; archaeology; language and culture; comparative study of human social institutions such as kinship, subsistence patterns, religion, politics; methods and theories. May not be taken for credit and for a grade if credit has been received for ANTH 1501 .",
ANTH 1501 - Global Social Science: An Introduction to Anthropology,ANTH,1501,,"This Global Theme course uses the methods and insights of the social and natural sciences to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies, or culture across the globe students will be able to better understand themselves as part of a complex, interconnected world. ANTH 1501 is a holistic exploration of humanity across time and space. It explores human evolution and our relationships with other primates; the connections between language and culture; cross-cultural similarities and differences; and the various ways culture and societies have changed from the distant past to the present. Throughout the course, students will gain an understanding of contemporary human diversity, social and environmental problems, power and inequalities, and global connections. May not be taken for credit and for a grade if credit has been received for ANTH 1101 .",
"ANTH 1511 - Local Social Science: Money, Health, and Happiness",ANTH,1511,,"This Local Theme course uses the methods and insights of the social sciences to explore the central question of what it means to be a member of a “local” community. Through the study of the experiences of different peoples, cultures, and communities in our city, our region, or our nation students will be able to better understand the complexity and diversity of the society in which we live. ANTH 1511 takes a critical and ethical look at the interconnections between culture, money, work, health, and well-being, with particular attention to inequities and opportunities for improvement. Students engage with real-world problems and issues around these topics and asks them to discuss potential solutions.",
ANTH 2010 - Topics in Ethnography,ANTH,2010,,Investigation of ethnographic regions of the world. Examples: Cultures of the Pacific; Cultures of the Mediterranean.,
ANTH 2020 - Topics in Cultural Anthropology,ANTH,2020,,Specialized topics in Cultural Anthropology.  Examples include: Cultures of East Asia; Circumpolar Peoples of the New World.,
ANTH 2040 - Topics in Biological Anthropology,ANTH,2040,,Specialized topics in Biological Anthropology.  Examples include: Living Primates of the New World; Cultures of Early Homo sapiens.,
ANTH 2050 - Topics in Archaeology,ANTH,2050,,Specialized topics in archaeology Example: Archaeology of Gender.,
ANTH 2090 - Topics in Anthropology,ANTH,2090,,Specialized topics in anthropology. Examples: Hunters and Gatherers; Political Anthropology.,
ANTH 2111 - Peoples of Africa,ANTH,2111,,"Ethnic and linguistic diversity in Sub-Saharan Africa; ecology and culture; patterns of continuity and change in kinship, marriage, economy, social control, stratification, and religion.",
ANTH 2112 - North American Indians,ANTH,2112,,Survey of the native peoples of America; culture at the time of European contact; major historical events and relationships; contemporary issues in Indian affairs.,
ANTH 2114 - Indians of the Southeastern United States,ANTH,2114,,"Study of American Indians of the Southeastern United States with emphasis on tribes of the Carolinas. Areas of investigation include precontact cultures, Indian-European contact relationships, history, and contemporary Southeastern Indian issues.",
